open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957283081,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692957283081,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692957283498,m1Cmd:6.537,m2Cmd:8.436,m3Cmd:6.361,s1Cmd:7.2625,s2Cmd:-3.1125,duration:415
Cmdms:1692957283504,m1Cmd:6.627,m2Cmd:8.556,m3Cmd:6.451,s1Cmd:7.3675,s2Cmd:-3.1575,duration:421
Cmdms:1692957283510,m1Cmd:6.732,m2Cmd:8.696,m3Cmd:6.556,s1Cmd:7.49,s2Cmd:-3.21,duration:428
Cmdms:1692957283515,m1Cmd:6.807,m2Cmd:8.796,m3Cmd:6.631,s1Cmd:7.5775,s2Cmd:-3.2475,duration:433
Cmdms:1692957283520,m1Cmd:6.882,m2Cmd:8.896,m3Cmd:6.706,s1Cmd:7.665,s2Cmd:-3.285,duration:438
Anglems:1692957283520,m1:4.448,m2:7,m3:5.152,s1:6.8382,s2:-2.628 ,duration:438
Velms:1692957283520,velM1:8.784,velM2:26.352,velM3:13.176,velS1:18.9,velS2:8.4 ,duration:438
Cmdms:1692957283526,m1Cmd:6.972,m2Cmd:9.016,m3Cmd:6.796,s1Cmd:7.77,s2Cmd:-3.33,duration:444
Cmdms:1692957283531,m1Cmd:7.047,m2Cmd:9.116,m3Cmd:6.871,s1Cmd:7.8575,s2Cmd:-3.3675,duration:449
Cmdms:1692957283537,m1Cmd:7.137,m2Cmd:9.236,m3Cmd:6.961,s1Cmd:7.9625,s2Cmd:-3.4125,duration:455
