open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
**********************
*angle ms:1692950281018,m1:-0.128,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692950281018,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Velms:1692950281280,velM1:26.352,velM2:30.744,velM3:13.176,velS1:2.4,velS2:5.7 ,duration:261
Cmdms:1692950281285,m1Cmd:5.212,m2Cmd:8.146,m3Cmd:2.806,s1Cmd:0.89,s2Cmd:1.78,duration:267
Cmdms:1692950281291,m1Cmd:5.312,m2Cmd:8.296,m3Cmd:2.856,s1Cmd:0.906667,s2Cmd:1.81333,duration:272
Cmdms:1692950281296,m1Cmd:5.432,m2Cmd:8.476,m3Cmd:2.916,s1Cmd:0.926667,s2Cmd:1.85333,duration:278
Cmdms:1692950281301,m1Cmd:5.532,m2Cmd:8.626,m3Cmd:2.966,s1Cmd:0.943333,s2Cmd:1.88667,duration:283
Cmdms:1692950281307,m1Cmd:5.632,m2Cmd:8.776,m3Cmd:3.016,s1Cmd:0.96,s2Cmd:1.92,duration:288
Cmdms:1692950281312,m1Cmd:5.752,m2Cmd:8.956,m3Cmd:3.076,s1Cmd:0.98,s2Cmd:1.96,duration:294
Cmdms:1692950281318,m1Cmd:5.852,m2Cmd:9.106,m3Cmd:3.126,s1Cmd:0.996667,s2Cmd:1.99333,duration:299
Cmdms:1692950281323,m1Cmd:5.972,m2Cmd:9.286,m3Cmd:3.186,s1Cmd:1.01667,s2Cmd:2.03333,duration:305
Anglems:1692950281323,m1:2.952,m2:6.296,m3:2.072,s1:0.7956,s2:1.53 ,duration:305
Velms:1692950281323,velM1:17.568,velM2:30.744,velM3:13.176,velS1:2.4,velS2:5.7 ,duration:305
Cmdms:1692950281328,m1Cmd:6.072,m2Cmd:9.436,m3Cmd:3.236,s1Cmd:1.03333,s2Cmd:2.06667,duration:310
