open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692950783593,m1:-0.128,m2:0.048,m3:0.136,s1:0,s2:0
*vel ms:1692950783593,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Anglems:1692950783860,m1:2.072,m2:4.976,m3:1.632,s1:6.2064,s2:6.507 ,duration:267
Velms:1692950783860,velM1:26.352,velM2:35.136,velM3:8.784,velS1:35.1,velS2:33.9 ,duration:267
Cmdms:1692950783866,m1Cmd:5.312,m2Cmd:8.208,m3Cmd:2.856,s1Cmd:8.16,s2Cmd:8.16,duration:272
Cmdms:1692950783871,m1Cmd:5.432,m2Cmd:8.388,m3Cmd:2.916,s1Cmd:8.34,s2Cmd:8.34,duration:278
Cmdms:1692950783877,m1Cmd:5.532,m2Cmd:8.538,m3Cmd:2.966,s1Cmd:8.49,s2Cmd:8.49,duration:283
Cmdms:1692950783882,m1Cmd:5.652,m2Cmd:8.718,m3Cmd:3.026,s1Cmd:8.67,s2Cmd:8.67,duration:289
Cmdms:1692950783887,m1Cmd:5.752,m2Cmd:8.868,m3Cmd:3.076,s1Cmd:8.82,s2Cmd:8.82,duration:294
Cmdms:1692950783893,m1Cmd:5.852,m2Cmd:9.018,m3Cmd:3.126,s1Cmd:8.97,s2Cmd:8.97,duration:299
Cmdms:1692950783898,m1Cmd:5.972,m2Cmd:9.198,m3Cmd:3.186,s1Cmd:9.15,s2Cmd:9.15,duration:305
Cmdms:1692950783904,m1Cmd:6.072,m2Cmd:9.348,m3Cmd:3.236,s1Cmd:9.3,s2Cmd:9.3,duration:310
Anglems:1692950783904,m1:3.04,m2:6.296,m3:2.072,s1:7.8156,s2:8.0874 ,duration:310
Velms:1692950783904,velM1:21.96,velM2:30.744,velM3:8.784,velS1:33.6,velS2:33.3 ,duration:310
Cmdms:1692950783910,m1Cmd:6.192,m2Cmd:9.528,m3Cmd:3.296,s1Cmd:9.48,s2Cmd:9.48,duration:316
Cmdms:1692950783916,m1Cmd:6.312,m2Cmd:9.708,m3Cmd:3.356,s1Cmd:9.66,s2Cmd:9.66,duration:322
Cmdms:1692950783922,m1Cmd:6.432,m2Cmd:9.888,m3Cmd:3.416,s1Cmd:9.84,s2Cmd:9.84,duration:328
Cmdms:1692950783927,m1Cmd:6.552,m2Cmd:10.068,m3Cmd:3.476,s1Cmd:10.02,s2Cmd:10.02,duration:334
Cmdms:1692950783932,m1Cmd:6.652,m2Cmd:10.218,m3Cmd:3.526,s1Cmd:10.17,s2Cmd:10.17,duration:339
Cmdms:1692950783938,m1Cmd:6.752,m2Cmd:10.368,m3Cmd:3.576,s1Cmd:10.32,s2Cmd:10.32,duration:344
Cmdms:1692950783943,m1Cmd:6.872,m2Cmd:10.548,m3Cmd:3.636,s1Cmd:10.5,s2Cmd:10.5,duration:350
Cmdms:1692950783949,m1Cmd:6.972,m2Cmd:10.698,m3Cmd:3.686,s1Cmd:10.65,s2Cmd:10.65,duration:355
Anglems:1692950783949,m1:4.008,m2:7.616,m3:2.512,s1:9.3294,s2:8.0874 ,duration:355
Velms:1692950783949,velM1:21.96,velM2:26.352,velM3:8.784,velS1:32.4,velS2:33.3 ,duration:355
Cmdms:1692950783954,m1Cmd:7.092,m2Cmd:10.878,m3Cmd:3.746,s1Cmd:10.83,s2Cmd:10.83,duration:361
Cmdms:1692950783960,m1Cmd:7.192,m2Cmd:11.028,m3Cmd:3.796,s1Cmd:10.98,s2Cmd:10.98,duration:366
Cmdms:1692950783967,m1Cmd:7.312,m2Cmd:11.208,m3Cmd:3.856,s1Cmd:11.16,s2Cmd:11.16,duration:372
Cmdms:1692950783972,m1Cmd:7.452,m2Cmd:11.418,m3Cmd:3.926,s1Cmd:11.37,s2Cmd:11.37,duration:379
Cmdms:1692950783978,m1Cmd:7.552,m2Cmd:11.568,m3Cmd:3.976,s1Cmd:11.52,s2Cmd:11.52,duration:384
Cmdms:1692950783983,m1Cmd:7.672,m2Cmd:11.748,m3Cmd:4.036,s1Cmd:11.7,s2Cmd:11.7,duration:390
Cmdms:1692950783989,m1Cmd:7.772,m2Cmd:11.898,m3Cmd:4.086,s1Cmd:11.85,s2Cmd:11.85,duration:395
Cmdms:1692950783994,m1Cmd:7.892,m2Cmd:12.078,m3Cmd:4.146,s1Cmd:12.03,s2Cmd:12.03,duration:401
Anglems:1692950783994,m1:4.8,m2:8.848,m3:2.952,s1:10.8054,s2:9.5904 ,duration:401
