open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692947065575,m1:-0.48,m2:0.048,m3:0.224,s1:0,s2:0
*vel ms:1692947065575,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692947065827,m1Cmd:4.54,m2Cmd:6.74133,m3Cmd:2.734,s1Cmd:0.836667,s2Cmd:1.67333,duration:251
Cmdms:1692947065832,m1Cmd:4.64,m2Cmd:6.87467,m3Cmd:2.784,s1Cmd:0.853333,s2Cmd:1.70667,duration:256
Cmdms:1692947065838,m1Cmd:4.76,m2Cmd:7.03467,m3Cmd:2.844,s1Cmd:0.873333,s2Cmd:1.74667,duration:262
Anglems:1692947065838,m1:0.928,m2:4.36,m3:1.72,s1:0.6246,s2:0.9882 ,duration:262
Velms:1692947065838,velM1:17.568,velM2:26.352,velM3:8.784,velS1:3.6,velS2:7.2 ,duration:262
Cmdms:1692947065843,m1Cmd:4.86,m2Cmd:7.168,m3Cmd:2.894,s1Cmd:0.89,s2Cmd:1.78,duration:267
Cmdms:1692947065848,m1Cmd:4.96,m2Cmd:7.30133,m3Cmd:2.944,s1Cmd:0.906667,s2Cmd:1.81333,duration:272
Cmdms:1692947065854,m1Cmd:5.08,m2Cmd:7.46133,m3Cmd:3.004,s1Cmd:0.926667,s2Cmd:1.85333,duration:278
Cmdms:1692947065860,m1Cmd:5.18,m2Cmd:7.59467,m3Cmd:3.054,s1Cmd:0.943333,s2Cmd:1.88667,duration:283
Cmdms:1692947065866,m1Cmd:5.3,m2Cmd:7.75467,m3Cmd:3.114,s1Cmd:0.963333,s2Cmd:1.92667,duration:289
Cmdms:1692947065871,m1Cmd:5.42,m2Cmd:7.91467,m3Cmd:3.174,s1Cmd:0.983333,s2Cmd:1.96667,duration:295
Cmdms:1692947065876,m1Cmd:5.52,m2Cmd:8.048,m3Cmd:3.224,s1Cmd:1,s2Cmd:2,duration:300
Cmdms:1692947065882,m1Cmd:5.64,m2Cmd:8.208,m3Cmd:3.284,s1Cmd:1.02,s2Cmd:2.04,duration:306
Anglems:1692947065882,m1:1.984,m2:5.504,m3:2.16,s1:0.891,s2:1.539 ,duration:306
Velms:1692947065882,velM1:26.352,velM2:26.352,velM3:8.784,velS1:4.5,velS2:7.2 ,duration:306
Cmdms:1692947065888,m1Cmd:5.76,m2Cmd:8.368,m3Cmd:3.344,s1Cmd:1.04,s2Cmd:2.08,duration:312
Cmdms:1692947065893,m1Cmd:5.86,m2Cmd:8.50133,m3Cmd:3.394,s1Cmd:1.05667,s2Cmd:2.11333,duration:317
Cmdms:1692947065899,m1Cmd:5.98,m2Cmd:8.66133,m3Cmd:3.454,s1Cmd:1.07667,s2Cmd:2.15333,duration:323
Cmdms:1692947065904,m1Cmd:6.08,m2Cmd:8.79467,m3Cmd:3.504,s1Cmd:1.09333,s2Cmd:2.18667,duration:328
Cmdms:1692947065909,m1Cmd:6.18,m2Cmd:8.928,m3Cmd:3.554,s1Cmd:1.11,s2Cmd:2.22,duration:333
Cmdms:1692947065915,m1Cmd:6.3,m2Cmd:9.088,m3Cmd:3.614,s1Cmd:1.13,s2Cmd:2.26,duration:339
Cmdms:1692947065920,m1Cmd:6.4,m2Cmd:9.22133,m3Cmd:3.664,s1Cmd:1.14667,s2Cmd:2.29333,duration:344
Cmdms:1692947065926,m1Cmd:6.52,m2Cmd:9.38133,m3Cmd:3.724,s1Cmd:1.16667,s2Cmd:2.33333,duration:350
Anglems:1692947065926,m1:2.952,m2:6.736,m3:2.6,s1:0.9846,s2:1.8882 ,duration:350
Velms:1692947065926,velM1:21.96,velM2:21.96,velM3:8.784,velS1:4.5,velS2:7.2 ,duration:350
Cmdms:1692947065931,m1Cmd:6.62,m2Cmd:9.51467,m3Cmd:3.774,s1Cmd:1.18333,s2Cmd:2.36667,duration:355
Cmdms:1692947065936,m1Cmd:6.72,m2Cmd:9.648,m3Cmd:3.824,s1Cmd:1.2,s2Cmd:2.4,duration:360
Cmdms:1692947065942,m1Cmd:6.84,m2Cmd:9.808,m3Cmd:3.884,s1Cmd:1.22,s2Cmd:2.44,duration:366
Cmdms:1692947065948,m1Cmd:6.94,m2Cmd:9.94133,m3Cmd:3.934,s1Cmd:1.23667,s2Cmd:2.47333,duration:371
Cmdms:1692947065954,m1Cmd:7.06,m2Cmd:10.1013,m3Cmd:3.994,s1Cmd:1.25667,s2Cmd:2.51333,duration:377
Cmdms:1692947065959,m1Cmd:7.18,m2Cmd:10.2613,m3Cmd:4.054,s1Cmd:1.27667,s2Cmd:2.55333,duration:383
Cmdms:1692947065964,m1Cmd:7.28,m2Cmd:10.3947,m3Cmd:4.104,s1Cmd:1.29333,s2Cmd:2.58667,duration:388
Cmdms:1692947065970,m1Cmd:7.4,m2Cmd:10.5547,m3Cmd:4.164,s1Cmd:1.31333,s2Cmd:2.62667,duration:394
Anglems:1692947065970,m1:3.92,m2:7.968,m3:3.04,s1:1.188,s2:2.1852 ,duration:394
Velms:1692947065970,velM1:21.96,velM2:26.352,velM3:8.784,velS1:3.3,velS2:6.6 ,duration:394
Cmdms:1692947065975,m1Cmd:7.5,m2Cmd:10.688,m3Cmd:4.214,s1Cmd:1.33,s2Cmd:2.66,duration:399
Cmdms:1692947065981,m1Cmd:7.6,m2Cmd:10.8213,m3Cmd:4.264,s1Cmd:1.34667,s2Cmd:2.69333,duration:404
Cmdms:1692947065986,m1Cmd:7.72,m2Cmd:10.9813,m3Cmd:4.324,s1Cmd:1.36667,s2Cmd:2.73333,duration:410
Cmdms:1692947065991,m1Cmd:7.82,m2Cmd:11.1147,m3Cmd:4.374,s1Cmd:1.38333,s2Cmd:2.76667,duration:415
Cmdms:1692947065997,m1Cmd:7.92,m2Cmd:11.248,m3Cmd:4.424,s1Cmd:1.4,s2Cmd:2.8,duration:420
Cmdms:1692947066002,m1Cmd:8.04,m2Cmd:11.408,m3Cmd:4.484,s1Cmd:1.42,s2Cmd:2.84,duration:426
Cmdms:1692947066007,m1Cmd:8.14,m2Cmd:11.5413,m3Cmd:4.534,s1Cmd:1.43667,s2Cmd:2.87333,duration:431
Cmdms:1692947066013,m1Cmd:8.26,m2Cmd:11.7013,m3Cmd:4.594,s1Cmd:1.45667,s2Cmd:2.91333,duration:437
Anglems:1692947066013,m1:4.8,m2:9.112,m3:3.48,s1:1.3374,s2:2.466 ,duration:437
Velms:1692947066013,velM1:17.568,velM2:26.352,velM3:8.784,velS1:4.2,velS2:6.6 ,duration:437
Cmdms:1692947066018,m1Cmd:8.36,m2Cmd:11.8347,m3Cmd:4.644,s1Cmd:1.47333,s2Cmd:2.94667,duration:442
Cmdms:1692947066024,m1Cmd:8.48,m2Cmd:11.9947,m3Cmd:4.704,s1Cmd:1.49333,s2Cmd:2.98667,duration:448
Cmdms:1692947066029,m1Cmd:8.58,m2Cmd:12.128,m3Cmd:4.754,s1Cmd:1.51,s2Cmd:3.02,duration:453
