open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957448182,m1:0.224,m2:0.136,m3:0.224,s1:0,s2:0
*vel ms:1692957448182,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.3
**********************
Cmdms:1692957448411,m1Cmd:3.644,m2Cmd:4.696,m3Cmd:3.644,s1Cmd:3.99,s2Cmd:-1.71,duration:228
Cmdms:1692957448416,m1Cmd:3.719,m2Cmd:4.796,m3Cmd:3.719,s1Cmd:4.0775,s2Cmd:-1.7475,duration:233
Cmdms:1692957448422,m1Cmd:3.809,m2Cmd:4.916,m3Cmd:3.809,s1Cmd:4.1825,s2Cmd:-1.7925,duration:239
Cmdms:1692957448427,m1Cmd:3.884,m2Cmd:5.016,m3Cmd:3.884,s1Cmd:4.27,s2Cmd:-1.83,duration:244
Cmdms:1692957448432,m1Cmd:3.959,m2Cmd:5.116,m3Cmd:3.959,s1Cmd:4.3575,s2Cmd:-1.8675,duration:249
Cmdms:1692957448438,m1Cmd:4.049,m2Cmd:5.236,m3Cmd:4.049,s1Cmd:4.4625,s2Cmd:-1.9125,duration:255
Cmdms:1692957448443,m1Cmd:4.124,m2Cmd:5.336,m3Cmd:4.124,s1Cmd:4.55,s2Cmd:-1.95,duration:260
Anglems:1692957448443,m1:1.28,m2:3.304,m3:2.424,s1:3.5766,s2:-1.2384 ,duration:260
Velms:1692957448443,velM1:21.96,velM2:21.96,velM3:13.176,velS1:21.3,velS2:8.4 ,duration:260
Cmdms:1692957448449,m1Cmd:4.199,m2Cmd:5.436,m3Cmd:4.199,s1Cmd:4.6375,s2Cmd:-1.9875,duration:265
Cmdms:1692957448454,m1Cmd:4.289,m2Cmd:5.556,m3Cmd:4.289,s1Cmd:4.7425,s2Cmd:-2.0325,duration:271
Cmdms:1692957448459,m1Cmd:4.364,m2Cmd:5.656,m3Cmd:4.364,s1Cmd:4.83,s2Cmd:-2.07,duration:276
Cmdms:1692957448465,m1Cmd:4.454,m2Cmd:5.776,m3Cmd:4.454,s1Cmd:4.935,s2Cmd:-2.115,duration:282
Cmdms:1692957448470,m1Cmd:4.529,m2Cmd:5.876,m3Cmd:4.529,s1Cmd:5.0225,s2Cmd:-2.1525,duration:287
Cmdms:1692957448476,m1Cmd:4.604,m2Cmd:5.976,m3Cmd:4.604,s1Cmd:5.11,s2Cmd:-2.19,duration:292
Cmdms:1692957448481,m1Cmd:4.694,m2Cmd:6.096,m3Cmd:4.694,s1Cmd:5.215,s2Cmd:-2.235,duration:298
